Gene_Symbol,Probe_ID_GPL570,Probe_ID_GPL96,Mapping_Status,Platform_Source,Gene_Title,Mapping_Confidence
GENE_00047,probe_gpl570_00047,probe_gpl96_00047,Shared,GPL570 & GPL96,Gene 47,High
GENE_00048,probe_gpl570_00048,probe_gpl96_00048,Shared,GPL570 & GPL96,Gene 48,High
GENE_00049,probe_gpl570_00049,probe_gpl96_00049,Shared,GPL570 & GPL96,Gene 49,High
GENE_00050,probe_gpl570_00050,probe_gpl96_00050,Shared,GPL570 & GPL96,Gene 50,High
GENE_00051,probe_gpl570_00051,probe_gpl96_00051,Shared,GPL570 & GPL96,Gene 51,High
GENE_00052,probe_gpl570_00052,probe_gpl96_00052,Shared,GPL570 & GPL96,Gene 52,High
GENE_00053,probe_gpl570_00053,probe_gpl96_00053,Shared,GPL570 & GPL96,Gene 53,High
GENE_00054,probe_gpl570_00054,probe_gpl96_00054,Shared,GPL570 & GPL96,Gene 54,High
GENE_00055,probe_gpl570_00055,probe_gpl96_00055,Shared,GPL570 & GPL96,Gene 55,High
GENE_00056,probe_gpl570_00056,probe_gpl96_00056,Shared,GPL570 & GPL96,Gene 56,High
GENE_00057,probe_gpl570_00057,probe_gpl96_00057,Shared,GPL570 & GPL96,Gene 57,High
GENE_00058,probe_gpl570_00058,probe_gpl96_00058,Shared,GPL570 & GPL96,Gene 58,High
GENE_00059,probe_gpl570_00059,probe_gpl96_00059,Shared,GPL570 & GPL96,Gene 59,High
GENE_00060,probe_gpl570_00060,probe_gpl96_00060,Shared,GPL570 & GPL96,Gene 60,High
GENE_00061,probe_gpl570_00061,probe_gpl96_00061,Shared,GPL570 & GPL96,Gene 61,High
GENE_00062,probe_gpl570_00062,probe_gpl96_00062,Shared,GPL570 & GPL96,Gene 62,High
GENE_00063,probe_gpl570_00063,probe_gpl96_00063,Shared,GPL570 & GPL96,Gene 63,High
GENE_00064,probe_gpl570_00064,probe_gpl96_00064,Shared,GPL570 & GPL96,Gene 64,High
GENE_00065,probe_gpl570_00065,probe_gpl96_00065,Shared,GPL570 & GPL96,Gene 65,High
GENE_00066,probe_gpl570_00066,probe_gpl96_00066,Shared,GPL570 & GPL96,Gene 66,High
GENE_00067,probe_gpl570_00067,probe_gpl96_00067,Shared,GPL570 & GPL96,Gene 67,High
GENE_00068,probe_gpl570_00068,probe_gpl96_00068,Shared,GPL570 & GPL96,Gene 68,High
GENE_00069,probe_gpl570_00069,probe_gpl96_00069,Shared,GPL570 & GPL96,Gene 69,High
GENE_00070,probe_gpl570_00070,probe_gpl96_00070,Shared,GPL570 & GPL96,Gene 70,High
GENE_00071,probe_gpl570_00071,probe_gpl96_00071,Shared,GPL570 & GPL96,Gene 71,High
GENE_00072,probe_gpl570_00072,probe_gpl96_00072,Shared,GPL570 & GPL96,Gene 72,High
GENE_00073,probe_gpl570_00073,probe_gpl96_00073,Shared,GPL570 & GPL96,Gene 73,High
GENE_00074,probe_gpl570_00074,probe_gpl96_00074,Shared,GPL570 & GPL96,Gene 74,High
GENE_00075,probe_gpl570_00075,probe_gpl96_00075,Shared,GPL570 & GPL96,Gene 75,High
GENE_00076,probe_gpl570_00076,probe_gpl96_00076,Shared,GPL570 & GPL96,Gene 76,High
GENE_00077,probe_gpl570_00077,probe_gpl96_00077,Shared,GPL570 & GPL96,Gene 77,High
GENE_00078,probe_gpl570_00078,probe_gpl96_00078,Shared,GPL570 & GPL96,Gene 78,High
GENE_00079,probe_gpl570_00079,probe_gpl96_00079,Shared,GPL570 & GPL96,Gene 79,High
GENE_00080,probe_gpl570_00080,probe_gpl96_00080,Shared,GPL570 & GPL96,Gene 80,High
GENE_00081,probe_gpl570_00081,probe_gpl96_00081,Shared,GPL570 & GPL96,Gene 81,High
GENE_00082,probe_gpl570_00082,probe_gpl96_00082,Shared,GPL570 & GPL96,Gene 82,High
GENE_00083,probe_gpl570_00083,probe_gpl96_00083,Shared,GPL570 & GPL96,Gene 83,High
GENE_00084,probe_gpl570_00084,probe_gpl96_00084,Shared,GPL570 & GPL96,Gene 84,High
GENE_00085,probe_gpl570_00085,probe_gpl96_00085,Shared,GPL570 & GPL96,Gene 85,High
GENE_00086,probe_gpl570_00086,probe_gpl96_00086,Shared,GPL570 & GPL96,Gene 86,High
GENE_00087,probe_gpl570_00087,probe_gpl96_00087,Shared,GPL570 & GPL96,Gene 87,High
GENE_00088,probe_gpl570_00088,probe_gpl96_00088,Shared,GPL570 & GPL96,Gene 88,High
GENE_00089,probe_gpl570_00089,probe_gpl96_00089,Shared,GPL570 & GPL96,Gene 89,High
GENE_00090,probe_gpl570_00090,probe_gpl96_00090,Shared,GPL570 & GPL96,Gene 90,High
GENE_00091,probe_gpl570_00091,probe_gpl96_00091,Shared,GPL570 & GPL96,Gene 91,High
GENE_00092,probe_gpl570_00092,probe_gpl96_00092,Shared,GPL570 & GPL96,Gene 92,High
GENE_00093,probe_gpl570_00093,probe_gpl96_00093,Shared,GPL570 & GPL96,Gene 93,High
GENE_00094,probe_gpl570_00094,probe_gpl96_00094,Shared,GPL570 & GPL96,Gene 94,High
GENE_00095,probe_gpl570_00095,probe_gpl96_00095,Shared,GPL570 & GPL96,Gene 95,High
GENE_00096,probe_gpl570_00096,probe_gpl96_00096,Shared,GPL570 & GPL96,Gene 96,High
GENE_00097,probe_gpl570_00097,probe_gpl96_00097,Shared,GPL570 & GPL96,Gene 97,High
GENE_00098,probe_gpl570_00098,probe_gpl96_00098,Shared,GPL570 & GPL96,Gene 98,High
GENE_00099,probe_gpl570_00099,probe_gpl96_00099,Shared,GPL570 & GPL96,Gene 99,High
GENE_00100,probe_gpl570_00100,probe_gpl96_00100,Shared,GPL570 & GPL96,Gene 100,High
GENE_00101,probe_gpl570_00101,probe_gpl96_00101,Shared,GPL570 & GPL96,Gene 101,High
GENE_00102,probe_gpl570_00102,probe_gpl96_00102,Shared,GPL570 & GPL96,Gene 102,High
GENE_00103,probe_gpl570_00103,probe_gpl96_00103,Shared,GPL570 & GPL96,Gene 103,High
GENE_00104,probe_gpl570_00104,probe_gpl96_00104,Shared,GPL570 & GPL96,Gene 104,High
GENE_00105,probe_gpl570_00105,probe_gpl96_00105,Shared,GPL570 & GPL96,Gene 105,High
GENE_00106,probe_gpl570_00106,probe_gpl96_00106,Shared,GPL570 & GPL96,Gene 106,High
GENE_00107,probe_gpl570_00107,probe_gpl96_00107,Shared,GPL570 & GPL96,Gene 107,High
GENE_00108,probe_gpl570_00108,probe_gpl96_00108,Shared,GPL570 & GPL96,Gene 108,High
GENE_00109,probe_gpl570_00109,probe_gpl96_00109,Shared,GPL570 & GPL96,Gene 109,High
GENE_00110,probe_gpl570_00110,probe_gpl96_00110,Shared,GPL570 & GPL96,Gene 110,High
GENE_00111,probe_gpl570_00111,probe_gpl96_00111,Shared,GPL570 & GPL96,Gene 111,High
GENE_00112,probe_gpl570_00112,probe_gpl96_00112,Shared,GPL570 & GPL96,Gene 112,High
GENE_00113,probe_gpl570_00113,probe_gpl96_00113,Shared,GPL570 & GPL96,Gene 113,High
GENE_00114,probe_gpl570_00114,probe_gpl96_00114,Shared,GPL570 & GPL96,Gene 114,High
GENE_00115,probe_gpl570_00115,probe_gpl96_00115,Shared,GPL570 & GPL96,Gene 115,High
GENE_00116,probe_gpl570_00116,probe_gpl96_00116,Shared,GPL570 & GPL96,Gene 116,High
GENE_00117,probe_gpl570_00117,probe_gpl96_00117,Shared,GPL570 & GPL96,Gene 117,High
GENE_00118,probe_gpl570_00118,probe_gpl96_00118,Shared,GPL570 & GPL96,Gene 118,High
GENE_00119,probe_gpl570_00119,probe_gpl96_00119,Shared,GPL570 & GPL96,Gene 119,High
GENE_00120,probe_gpl570_00120,probe_gpl96_00120,Shared,GPL570 & GPL96,Gene 120,High
GENE_00121,probe_gpl570_00121,probe_gpl96_00121,Shared,GPL570 & GPL96,Gene 121,High
GENE_00122,probe_gpl570_00122,probe_gpl96_00122,Shared,GPL570 & GPL96,Gene 122,High
GENE_00123,probe_gpl570_00123,probe_gpl96_00123,Shared,GPL570 & GPL96,Gene 123,High
GENE_00124,probe_gpl570_00124,probe_gpl96_00124,Shared,GPL570 & GPL96,Gene 124,High
GENE_00125,probe_gpl570_00125,probe_gpl96_00125,Shared,GPL570 & GPL96,Gene 125,High
GENE_00126,probe_gpl570_00126,probe_gpl96_00126,Shared,GPL570 & GPL96,Gene 126,High
GENE_00127,probe_gpl570_00127,probe_gpl96_00127,Shared,GPL570 & GPL96,Gene 127,High
GENE_00128,probe_gpl570_00128,probe_gpl96_00128,Shared,GPL570 & GPL96,Gene 128,High
GENE_00129,probe_gpl570_00129,probe_gpl96_00129,Shared,GPL570 & GPL96,Gene 129,High
GENE_00130,probe_gpl570_00130,probe_gpl96_00130,Shared,GPL570 & GPL96,Gene 130,High
GENE_00131,probe_gpl570_00131,probe_gpl96_00131,Shared,GPL570 & GPL96,Gene 131,High
GENE_00132,probe_gpl570_00132,probe_gpl96_00132,Shared,GPL570 & GPL96,Gene 132,High
GENE_00133,probe_gpl570_00133,probe_gpl96_00133,Shared,GPL570 & GPL96,Gene 133,High
GENE_00134,probe_gpl570_00134,probe_gpl96_00134,Shared,GPL570 & GPL96,Gene 134,High
GENE_00135,probe_gpl570_00135,probe_gpl96_00135,Shared,GPL570 & GPL96,Gene 135,High
GENE_00136,probe_gpl570_00136,probe_gpl96_00136,Shared,GPL570 & GPL96,Gene 136,High
GENE_00137,probe_gpl570_00137,probe_gpl96_00137,Shared,GPL570 & GPL96,Gene 137,High
GENE_00138,probe_gpl570_00138,probe_gpl96_00138,Shared,GPL570 & GPL96,Gene 138,High
GENE_00139,probe_gpl570_00139,probe_gpl96_00139,Shared,GPL570 & GPL96,Gene 139,High
GENE_00140,probe_gpl570_00140,probe_gpl96_00140,Shared,GPL570 & GPL96,Gene 140,High
GENE_00141,probe_gpl570_00141,probe_gpl96_00141,Shared,GPL570 & GPL96,Gene 141,High
GENE_00142,probe_gpl570_00142,probe_gpl96_00142,Shared,GPL570 & GPL96,Gene 142,High
GENE_00143,probe_gpl570_00143,probe_gpl96_00143,Shared,GPL570 & GPL96,Gene 143,High
GENE_00144,probe_gpl570_00144,probe_gpl96_00144,Shared,GPL570 & GPL96,Gene 144,High
GENE_00145,probe_gpl570_00145,probe_gpl96_00145,Shared,GPL570 & GPL96,Gene 145,High
GENE_00146,probe_gpl570_00146,probe_gpl96_00146,Shared,GPL570 & GPL96,Gene 146,High
GENE_00147,probe_gpl570_00147,probe_gpl96_00147,Shared,GPL570 & GPL96,Gene 147,High
GENE_00148,probe_gpl570_00148,probe_gpl96_00148,Shared,GPL570 & GPL96,Gene 148,High
GENE_00149,probe_gpl570_00149,probe_gpl96_00149,Shared,GPL570 & GPL96,Gene 149,High
GENE_00150,probe_gpl570_00150,probe_gpl96_00150,Shared,GPL570 & GPL96,Gene 150,High
GENE_00151,probe_gpl570_00151,probe_gpl96_00151,Shared,GPL570 & GPL96,Gene 151,High
GENE_00152,probe_gpl570_00152,probe_gpl96_00152,Shared,GPL570 & GPL96,Gene 152,High
GENE_00153,probe_gpl570_00153,probe_gpl96_00153,Shared,GPL570 & GPL96,Gene 153,High
GENE_00154,probe_gpl570_00154,probe_gpl96_00154,Shared,GPL570 & GPL96,Gene 154,High
GENE_00155,probe_gpl570_00155,probe_gpl96_00155,Shared,GPL570 & GPL96,Gene 155,High
GENE_00156,probe_gpl570_00156,probe_gpl96_00156,Shared,GPL570 & GPL96,Gene 156,High
GENE_00157,probe_gpl570_00157,probe_gpl96_00157,Shared,GPL570 & GPL96,Gene 157,High
GENE_00158,probe_gpl570_00158,probe_gpl96_00158,Shared,GPL570 & GPL96,Gene 158,High
GENE_00159,probe_gpl570_00159,probe_gpl96_00159,Shared,GPL570 & GPL96,Gene 159,High
GENE_00160,probe_gpl570_00160,probe_gpl96_00160,Shared,GPL570 & GPL96,Gene 160,High
GENE_00161,probe_gpl570_00161,probe_gpl96_00161,Shared,GPL570 & GPL96,Gene 161,High
GENE_00162,probe_gpl570_00162,probe_gpl96_00162,Shared,GPL570 & GPL96,Gene 162,High
GENE_00163,probe_gpl570_00163,probe_gpl96_00163,Shared,GPL570 & GPL96,Gene 163,High
GENE_00164,probe_gpl570_00164,probe_gpl96_00164,Shared,GPL570 & GPL96,Gene 164,High
GENE_00165,probe_gpl570_00165,probe_gpl96_00165,Shared,GPL570 & GPL96,Gene 165,High
GENE_00166,probe_gpl570_00166,probe_gpl96_00166,Shared,GPL570 & GPL96,Gene 166,High
GENE_00167,probe_gpl570_00167,probe_gpl96_00167,Shared,GPL570 & GPL96,Gene 167,High
GENE_00168,probe_gpl570_00168,probe_gpl96_00168,Shared,GPL570 & GPL96,Gene 168,High
GENE_00169,probe_gpl570_00169,probe_gpl96_00169,Shared,GPL570 & GPL96,Gene 169,High
GENE_00170,probe_gpl570_00170,probe_gpl96_00170,Shared,GPL570 & GPL96,Gene 170,High
GENE_00171,probe_gpl570_00171,probe_gpl96_00171,Shared,GPL570 & GPL96,Gene 171,High
GENE_00172,probe_gpl570_00172,probe_gpl96_00172,Shared,GPL570 & GPL96,Gene 172,High
GENE_00173,probe_gpl570_00173,probe_gpl96_00173,Shared,GPL570 & GPL96,Gene 173,High
GENE_00174,probe_gpl570_00174,probe_gpl96_00174,Shared,GPL570 & GPL96,Gene 174,High
GENE_00175,probe_gpl570_00175,probe_gpl96_00175,Shared,GPL570 & GPL96,Gene 175,High
GENE_00176,probe_gpl570_00176,probe_gpl96_00176,Shared,GPL570 & GPL96,Gene 176,High
GENE_00177,probe_gpl570_00177,probe_gpl96_00177,Shared,GPL570 & GPL96,Gene 177,High
GENE_00178,probe_gpl570_00178,probe_gpl96_00178,Shared,GPL570 & GPL96,Gene 178,High
GENE_00179,probe_gpl570_00179,probe_gpl96_00179,Shared,GPL570 & GPL96,Gene 179,High
GENE_00180,probe_gpl570_00180,probe_gpl96_00180,Shared,GPL570 & GPL96,Gene 180,High
GENE_00181,probe_gpl570_00181,probe_gpl96_00181,Shared,GPL570 & GPL96,Gene 181,High
GENE_00182,probe_gpl570_00182,probe_gpl96_00182,Shared,GPL570 & GPL96,Gene 182,High
GENE_00183,probe_gpl570_00183,probe_gpl96_00183,Shared,GPL570 & GPL96,Gene 183,High
GENE_00184,probe_gpl570_00184,probe_gpl96_00184,Shared,GPL570 & GPL96,Gene 184,High
GENE_00185,probe_gpl570_00185,probe_gpl96_00185,Shared,GPL570 & GPL96,Gene 185,High
GENE_00186,probe_gpl570_00186,probe_gpl96_00186,Shared,GPL570 & GPL96,Gene 186,High
GENE_00187,probe_gpl570_00187,probe_gpl96_00187,Shared,GPL570 & GPL96,Gene 187,High
GENE_00188,probe_gpl570_00188,probe_gpl96_00188,Shared,GPL570 & GPL96,Gene 188,High
GENE_00189,probe_gpl570_00189,probe_gpl96_00189,Shared,GPL570 & GPL96,Gene 189,High
GENE_00190,probe_gpl570_00190,probe_gpl96_00190,Shared,GPL570 & GPL96,Gene 190,High
GENE_00191,probe_gpl570_00191,probe_gpl96_00191,Shared,GPL570 & GPL96,Gene 191,High
GENE_00192,probe_gpl570_00192,probe_gpl96_00192,Shared,GPL570 & GPL96,Gene 192,High
GENE_00193,probe_gpl570_00193,probe_gpl96_00193,Shared,GPL570 & GPL96,Gene 193,High
GENE_00194,probe_gpl570_00194,probe_gpl96_00194,Shared,GPL570 & GPL96,Gene 194,High
GENE_00195,probe_gpl570_00195,probe_gpl96_00195,Shared,GPL570 & GPL96,Gene 195,High
GENE_00196,probe_gpl570_00196,probe_gpl96_00196,Shared,GPL570 & GPL96,Gene 196,High
GENE_00197,probe_gpl570_00197,probe_gpl96_00197,Shared,GPL570 & GPL96,Gene 197,High
GENE_00198,probe_gpl570_00198,probe_gpl96_00198,Shared,GPL570 & GPL96,Gene 198,High
GENE_00199,probe_gpl570_00199,probe_gpl96_00199,Shared,GPL570 & GPL96,Gene 199,High
GENE_00200,probe_gpl570_00200,probe_gpl96_00200,Shared,GPL570 & GPL96,Gene 200,High
GENE_00201,probe_gpl570_00201,probe_gpl96_00201,Shared,GPL570 & GPL96,Gene 201,High
GENE_00202,probe_gpl570_00202,probe_gpl96_00202,Shared,GPL570 & GPL96,Gene 202,High
GENE_00203,probe_gpl570_00203,probe_gpl96_00203,Shared,GPL570 & GPL96,Gene 203,High
GENE_00204,probe_gpl570_00204,probe_gpl96_00204,Shared,GPL570 & GPL96,Gene 204,High
GENE_00205,probe_gpl570_00205,probe_gpl96_00205,Shared,GPL570 & GPL96,Gene 205,High
GENE_00206,probe_gpl570_00206,probe_gpl96_00206,Shared,GPL570 & GPL96,Gene 206,High
GENE_00207,probe_gpl570_00207,probe_gpl96_00207,Shared,GPL570 & GPL96,Gene 207,High
GENE_00208,probe_gpl570_00208,probe_gpl96_00208,Shared,GPL570 & GPL96,Gene 208,High
GENE_00209,probe_gpl570_00209,probe_gpl96_00209,Shared,GPL570 & GPL96,Gene 209,High
GENE_00210,probe_gpl570_00210,probe_gpl96_00210,Shared,GPL570 & GPL96,Gene 210,High
GENE_00211,probe_gpl570_00211,probe_gpl96_00211,Shared,GPL570 & GPL96,Gene 211,High
GENE_00212,probe_gpl570_00212,probe_gpl96_00212,Shared,GPL570 & GPL96,Gene 212,High
GENE_00213,probe_gpl570_00213,probe_gpl96_00213,Shared,GPL570 & GPL96,Gene 213,High
GENE_00214,probe_gpl570_00214,probe_gpl96_00214,Shared,GPL570 & GPL96,Gene 214,High
GENE_00215,probe_gpl570_00215,probe_gpl96_00215,Shared,GPL570 & GPL96,Gene 215,High
GENE_00216,probe_gpl570_00216,probe_gpl96_00216,Shared,GPL570 & GPL96,Gene 216,High
GENE_00217,probe_gpl570_00217,probe_gpl96_00217,Shared,GPL570 & GPL96,Gene 217,High
GENE_00218,probe_gpl570_00218,probe_gpl96_00218,Shared,GPL570 & GPL96,Gene 218,High
GENE_00219,probe_gpl570_00219,probe_gpl96_00219,Shared,GPL570 & GPL96,Gene 219,High
GENE_00220,probe_gpl570_00220,probe_gpl96_00220,Shared,GPL570 & GPL96,Gene 220,High
GENE_00221,probe_gpl570_00221,probe_gpl96_00221,Shared,GPL570 & GPL96,Gene 221,High
GENE_00222,probe_gpl570_00222,probe_gpl96_00222,Shared,GPL570 & GPL96,Gene 222,High
GENE_00223,probe_gpl570_00223,probe_gpl96_00223,Shared,GPL570 & GPL96,Gene 223,High
GENE_00224,probe_gpl570_00224,probe_gpl96_00224,Shared,GPL570 & GPL96,Gene 224,High
GENE_00225,probe_gpl570_00225,probe_gpl96_00225,Shared,GPL570 & GPL96,Gene 225,High
GENE_00226,probe_gpl570_00226,probe_gpl96_00226,Shared,GPL570 & GPL96,Gene 226,High
GENE_00227,probe_gpl570_00227,probe_gpl96_00227,Shared,GPL570 & GPL96,Gene 227,High
GENE_00228,probe_gpl570_00228,probe_gpl96_00228,Shared,GPL570 & GPL96,Gene 228,High
GENE_00229,probe_gpl570_00229,probe_gpl96_00229,Shared,GPL570 & GPL96,Gene 229,High
GENE_00230,probe_gpl570_00230,probe_gpl96_00230,Shared,GPL570 & GPL96,Gene 230,High
GENE_00231,probe_gpl570_00231,probe_gpl96_00231,Shared,GPL570 & GPL96,Gene 231,High
GENE_00232,probe_gpl570_00232,probe_gpl96_00232,Shared,GPL570 & GPL96,Gene 232,High
GENE_00233,probe_gpl570_00233,probe_gpl96_00233,Shared,GPL570 & GPL96,Gene 233,High
GENE_00234,probe_gpl570_00234,probe_gpl96_00234,Shared,GPL570 & GPL96,Gene 234,High
GENE_00235,probe_gpl570_00235,probe_gpl96_00235,Shared,GPL570 & GPL96,Gene 235,High
GENE_00236,probe_gpl570_00236,probe_gpl96_00236,Shared,GPL570 & GPL96,Gene 236,High
GENE_00237,probe_gpl570_00237,probe_gpl96_00237,Shared,GPL570 & GPL96,Gene 237,High
GENE_00238,probe_gpl570_00238,probe_gpl96_00238,Shared,GPL570 & GPL96,Gene 238,High
GENE_00239,probe_gpl570_00239,probe_gpl96_00239,Shared,GPL570 & GPL96,Gene 239,High
GENE_00240,probe_gpl570_00240,probe_gpl96_00240,Shared,GPL570 & GPL96,Gene 240,High
GENE_00241,probe_gpl570_00241,probe_gpl96_00241,Shared,GPL570 & GPL96,Gene 241,High
GENE_00242,probe_gpl570_00242,probe_gpl96_00242,Shared,GPL570 & GPL96,Gene 242,High
GENE_00243,probe_gpl570_00243,probe_gpl96_00243,Shared,GPL570 & GPL96,Gene 243,High
GENE_00244,probe_gpl570_00244,probe_gpl96_00244,Shared,GPL570 & GPL96,Gene 244,High
GENE_00245,probe_gpl570_00245,probe_gpl96_00245,Shared,GPL570 & GPL96,Gene 245,High
GENE_00246,probe_gpl570_00246,probe_gpl96_00246,Shared,GPL570 & GPL96,Gene 246,High
GENE_00247,probe_gpl570_00247,probe_gpl96_00247,Shared,GPL570 & GPL96,Gene 247,High
GENE_00248,probe_gpl570_00248,probe_gpl96_00248,Shared,GPL570 & GPL96,Gene 248,High
GENE_00249,probe_gpl570_00249,probe_gpl96_00249,Shared,GPL570 & GPL96,Gene 249,High
GENE_00250,probe_gpl570_00250,probe_gpl96_00250,Shared,GPL570 & GPL96,Gene 250,High
GENE_00251,probe_gpl570_00251,probe_gpl96_00251,Shared,GPL570 & GPL96,Gene 251,High
GENE_00252,probe_gpl570_00252,probe_gpl96_00252,Shared,GPL570 & GPL96,Gene 252,High
GENE_00253,probe_gpl570_00253,probe_gpl96_00253,Shared,GPL570 & GPL96,Gene 253,High
GENE_00254,probe_gpl570_00254,probe_gpl96_00254,Shared,GPL570 & GPL96,Gene 254,High
GENE_00255,probe_gpl570_00255,probe_gpl96_00255,Shared,GPL570 & GPL96,Gene 255,High
GENE_00256,probe_gpl570_00256,probe_gpl96_00256,Shared,GPL570 & GPL96,Gene 256,High
GENE_00257,probe_gpl570_00257,probe_gpl96_00257,Shared,GPL570 & GPL96,Gene 257,High
GENE_00258,probe_gpl570_00258,probe_gpl96_00258,Shared,GPL570 & GPL96,Gene 258,High
GENE_00259,probe_gpl570_00259,probe_gpl96_00259,Shared,GPL570 & GPL96,Gene 259,High
GENE_00260,probe_gpl570_00260,probe_gpl96_00260,Shared,GPL570 & GPL96,Gene 260,High
GENE_00261,probe_gpl570_00261,probe_gpl96_00261,Shared,GPL570 & GPL96,Gene 261,High
